problem,requirement
269,268
271,269
272,271
270,272
118,116
117,118
283,117
217,117
121,117
276,117
119,117
123,117
125,283
125,121
125,123
363,283
169,217
169,123
273,276
129,121
129,123
278,276
241,119
241,123
130,119
122,119
122,123
213,121
193,119
214,123
197,119
197,123
126,213
259,129
259,213
188,169
356,283
356,169
252,130
252,213
289,276
289,125
220,213
176,197
249,121
249,197
175,276
175,169
240,130
240,356
127,121
127,188
120,175
177,197
177,126
143,123
143,289
137,129
137,176
131,126
245,121
245,125
245,175
124,259
277,125
277,278
277,122
277,197
277,289
189,130
189,213
189,175
254,197
254,252
254,189
128,137
290,273
290,214
290,277
221,120
264,137
190,189
139,124
196,193
196,143
258,119
258,120
208,189
208,196
228,143
228,189
228,221
134,188
134,177
134,190
138,128
198,196
281,273
281,278
281,289
281,254
231,129
231,143
231,258
246,221
230,214
230,240
163,281
229,228
262,138
140,130
140,356
140,228
142,213
142,138
223,134
209,208
156,228
199,169
199,198
232,231
132,190
132,229
158,156
135,223
237,142
222,232
145,142
248,221
248,163
226,262
226,142
233,240
233,232
152,125
152,142
256,214
256,254
256,290
256,208
256,223
141,140
285,190
285,163
151,140
164,163
153,229
153,152
136,135
133,132
279,273
279,164
239,164
146,237
288,135
255,188
255,145
159,158
159,151
310,145
322,142
322,145
147,145
147,146
323,262
323,310
216,153
330,326
328,326
339,326
332,328
342,332
338,342
