topic,problem
14,121
14,249
14,245
14,128
14,138
14,262
14,142
14,237
14,145
14,226
14,152
14,146
14,255
14,322
14,147
14,323
39,326
39,330
39,328
39,339
39,332
39,342
39,338
32,283
32,363
32,130
32,122
32,213
32,356
32,252
32,220
32,240
32,120
32,124
32,189
32,254
32,139
32,230
32,262
32,140
32,158
32,141
27,193
27,196
27,208
27,198
27,209
27,199
18,283
18,363
18,259
18,356
18,240
18,137
18,128
18,264
18,138
18,230
18,142
18,237
18,145
18,226
18,152
18,146
18,255
18,322
18,147
18,323
31,241
17,188
17,127
17,134
17,223
17,135
17,136
17,288
16,213
16,259
16,252
16,220
16,124
16,139
29,169
29,175
29,258
29,231
29,230
29,223
29,199
29,232
29,135
29,233
29,288
30,276
30,273
30,278
30,281
30,248
30,285
28,268
28,269
28,271
28,272
28,270
13,175
13,120
13,245
13,221
13,228
13,246
13,229
13,140
13,156
13,132
13,158
13,248
13,141
13,151
13,153
13,133
13,159
13,216
35,163
35,164
35,239
21,276
21,273
21,278
21,289
21,277
21,290
21,281
21,163
21,248
21,285
21,164
21,279
21,239
42,268
42,269
42,271
42,272
42,270
36,241
36,330
40,328
40,332
40,342
40,338
33,189
33,190
33,256
15,116
15,118
15,117
15,217
15,123
15,125
15,129
15,214
15,197
15,126
15,356
15,176
15,240
15,177
15,143
15,137
15,131
15,264
15,258
15,232
15,222
15,233
41,339
