"problem" "users" "drops" "drops.share"
"1" "128" 168 2 0.0119047619047619
"2" "209" 73 1 0.0136986301369863
"3" "246" 68 1 0.0147058823529412
"4" "135" 60 1 0.0166666666666667
"5" "189" 240 4 0.0166666666666667
"6" "176" 353 6 0.0169971671388102
"7" "230" 52 1 0.0192307692307692
"8" "214" 694 15 0.0216138328530259
"9" "146" 46 1 0.0217391304347826
"10" "245" 137 3 0.0218978102189781
"11" "126" 668 15 0.0224550898203593
"12" "131" 390 9 0.0230769230769231
"13" "138" 126 3 0.0238095238095238
"14" "199" 76 2 0.0263157894736842
"15" "232" 73 2 0.0273972602739726
"16" "197" 500 15 0.03
"17" "227" 796 24 0.0301507537688442
"18" "193" 682 22 0.032258064516129
"19" "121" 2360 78 0.0330508474576271
"20" "122" 482 16 0.033195020746888
"21" "226" 30 1 0.0333333333333333
"22" "237" 60 2 0.0333333333333333
"23" "151" 29 1 0.0344827586206897
"24" "221" 143 5 0.034965034965035
"25" "231" 109 4 0.036697247706422
"26" "175" 350 13 0.0371428571428571
"27" "228" 75 3 0.04
"28" "119" 1598 67 0.041927409261577
"29" "132" 47 2 0.0425531914893617
"30" "177" 280 12 0.0428571428571429
"31" "140" 69 3 0.0434782608695652
"32" "196" 224 10 0.0446428571428571
"33" "129" 727 33 0.0453920220082531
"34" "198" 110 5 0.0454545454545455
"35" "142" 86 4 0.0465116279069767
"36" "118" 3378 158 0.0467732386027235
"37" "124" 235 11 0.0468085106382979
"38" "208" 111 6 0.0540540540540541
"39" "127" 220 12 0.0545454545454545
"40" "191" 385 21 0.0545454545454545
"41" "190" 219 12 0.0547945205479452
"42" "137" 218 12 0.055045871559633
"43" "147" 36 2 0.0555555555555556
"44" "216" 17 1 0.0588235294117647
"45" "117" 3101 194 0.0625604643663334
"46" "125" 1060 70 0.0660377358490566
"47" "130" 703 48 0.0682788051209104
"48" "213" 1401 97 0.0692362598144183
"49" "139" 139 10 0.0719424460431655
"50" "220" 428 32 0.0747663551401869
"51" "222" 40 3 0.075
"52" "169" 918 72 0.0784313725490196
"53" "133" 35 3 0.0857142857142857
"54" "123" 1840 171 0.0929347826086957
"55" "152" 39 4 0.102564102564103
"56" "188" 352 43 0.122159090909091
"57" "143" 510 71 0.13921568627451
"58" "217" 1902 296 0.155625657202944
"59" "116" 4714 1126 0.238862961391599
