problem,requirement
269,268
271,269
272,271
270,272
118,116
117,118
217,117
121,117
123,117
169,217
169,123
276,217
129,121
129,123
213,121
119,217
214,123
273,276
126,213
278,276
188,169
241,123
241,119
130,119
122,123
122,119
289,123
289,276
193,119
124,213
220,213
197,123
197,119
175,169
175,276
125,121
125,123
125,289
127,121
127,188
120,175
177,126
177,197
143,123
143,289
131,126
252,213
252,130
139,124
176,197
189,213
189,130
189,175
249,121
249,197
254,197
254,252
254,189
137,129
137,176
231,129
231,175
231,143
221,120
245,121
245,175
245,125
277,278
277,122
277,289
277,197
277,125
190,189
196,193
196,143
208,189
208,196
228,143
228,189
228,221
134,188
134,177
134,190
128,137
290,214
290,273
290,277
198,196
281,273
281,278
281,289
281,254
246,221
230,169
230,214
230,137
232,231
163,281
229,228
140,130
140,228
138,128
222,232
233,230
233,232
223,134
209,208
156,228
199,169
199,198
132,190
132,229
158,156
135,223
142,213
142,138
248,221
248,163
141,140
285,190
285,163
151,140
164,163
136,135
133,132
237,142
288,135
145,142
226,142
152,125
152,142
153,229
153,152
146,237
147,145
147,146
216,153
